"SP.POP.2024.FE.5Y","Population ages 20-24, female (% of female population)"
"BX.GSR.GNFS.CD","Exports of goods and services (BoP, current US$)"
"EN.URB.LCTY.UR.ZS","Population in the largest city (% of urban population)"
"SP.DYN.TO65.MA.ZS","Survival to age 65, male (% of cohort)"
"EN.ATM.CO2E.SF.ZS","CO2 emissions from solid fuel consumption (% of total)"
"TX.VAL.MRCH.WL.CD","Merchandise exports by the reporting economy (current US$)"
"MS.MIL.XPND.CD","Military expenditure (current USD)"
"SP.DYN.LE00.MA.IN","Life expectancy at birth, male (years)"
"NY.GSR.NFCY.CD","Net primary income (Net income from abroad) (current US$)"
"NV.MNF.FBTO.ZS.UN","Food, beverages and tobacco (% of value added in manufacturing)"
"EG.ELC.FOSL.ZS","Electricity production from oil, gas and coal sources (% of total)"
"BM.GSR.GNFS.CD","Imports of goods and services (BoP, current US$)"
